CountryID,Country,Region,FreedomRank,RegionRank,2016 Score,Population,GDPBillions,Unemployment
1,Afghanistan,Asia-Pacific,N/A,N/A,N/A,31.3,$60.60 ,9.1
2,Albania,Europe,59,27,65.9,2.8,$31.60 ,16.1
3,Algeria,Middle East / North Africa,154,13,50.1,38.7,$551.80 ,9.5
4,Angola,Sub-Saharan Africa,156,39,48.9,24.4,$175.60 ,6.8
5,Argentina,South and Central America / Caribbean,169,27,43.8,42,$947.60 ,8.2
6,Armenia,Europe,54,23,67,3.3,$24.30 ,17.1
7,Australia,Asia-Pacific,5,4,80.3,23.6,"$1,095.40 ",6
8,Austria,Europe,28,15,71.7,8.5,$395.50 ,5
9,Azerbaijan,Asia-Pacific,91,16,60.2,9.4,$165.30 ,5.2
10,Bahamas,South and Central America / Caribbean,31,2,70.9,0.4,$9.00 ,15.4
11,Bahrain,Middle East / North Africa,18,1,74.3,1.2,$61.90 ,4.1
12,Bangladesh,Asia-Pacific,137,29,53.3,158.2,$533.70 ,4.3
13,Barbados,South and Central America / Caribbean,45,7,68.3,0.3,$4.50 ,12
14,Belarus,Europe,157,43,48.8,9.5,$172.00 ,5.9
15,Belgium,Europe,44,21,68.4,11.2,$481.50 ,8.5
16,Belize,South and Central America / Caribbean,118,20,57.4,0.4,$2.90 ,11.5
17,Benin,Sub-Saharan Africa,101,12,59.3,10.6,$19.80 ,1
18,Bhutan,Asia-Pacific,97,20,59.5,0.8,$5.90 ,2.8
19,Bolivia,South and Central America / Caribbean,160,26,47.4,11.2,$70.00 ,2.7
20,Bosnia and Herzegovina,Europe,108,39,58.6,3.9,$38.10 ,27.9
21,Botswana,Sub-Saharan Africa,30,2,71.1,2.1,$33.70 ,18.2
22,Brazil,South and Central America / Caribbean,122,21,56.5,202.8,"$3,263.80 ",6.8
23,Bulgaria,Europe,60,28,65.9,7.2,$128.60 ,11.6
24,Burkina Faso,Sub-Saharan Africa,104,14,59.1,17.4,$29.30 ,3.1
25,Burma,Asia-Pacific,158,36,48.7,51.4,$242.00 ,3.3
26,Burundi,Sub-Saharan Africa,133,28,53.9,9.2,$8.40 ,6.9
27,Cambodia,Asia-Pacific,112,24,57.9,15.3,$50.00 ,0.4
28,Cameroon,Sub-Saharan Africa,130,27,54.2,22.5,$67.20 ,4.3
